,locusId,old_locus_tag,gene,product,protein_id,giNum
1220,HNEAP_RS06325,['Hneap_1260'],,['PAS domain S-box protein'],WP_012824130.1,502586372
1221,HNEAP_RS06330,['Hneap_1261'],,['SulP family inorganic anion transporter'],WP_012824131.1,502586374
1222,HNEAP_RS06335,['Hneap_1262'],,['MazG nucleotide pyrophosphohydrolase'],WP_012824132.1,502586375
1223,HNEAP_RS06340,['Hneap_1263'],,['lipoyl synthase'],WP_012824133.1,502586376
1224,HNEAP_RS06345,['Hneap_1264'],,['lipoyl(octanoyl) transferase LipB'],WP_012824134.1,502586377
1225,HNEAP_RS06350,,,['DUF493 domain-containing protein'],WP_012824135.1,502586378
1226,HNEAP_RS06355,['Hneap_1266'],,['class IV aminotransferase'],WP_012824136.1,502586379
1227,HNEAP_RS06360,['Hneap_1267'],,['serine hydrolase'],WP_012824137.1,502586380
1228,HNEAP_RS06365,['Hneap_1268'],,['septal ring lytic transglycosylase RlpA family protein'],WP_012824138.1,502586381
1229,HNEAP_RS06370,['Hneap_1269'],,['lytic murein transglycosylase B'],WP_012824139.1,502586382
1230,HNEAP_RS06375,['Hneap_1270'],,['rod shape-determining protein RodA'],,
1231,HNEAP_RS06380,['Hneap_1271'],,['penicillin-binding protein 2'],WP_012824141.1,502586384
1232,HNEAP_RS06385,['Hneap_1272'],,['inorganic diphosphatase'],WP_012824142.1,502586385
1233,HNEAP_RS06390,['Hneap_1273'],,['adenylate kinase'],WP_012824143.1,502586386
1234,HNEAP_RS06395,['Hneap_1274'],,['LPS-assembly protein LptD'],WP_012824144.1,502586387
1235,HNEAP_RS06400,['Hneap_1275'],,['SurA domain-containing protein'],WP_012824145.1,502586388
1236,HNEAP_RS06405,['Hneap_1276'],,['4-hydroxythreonine-4-phosphate dehydrogenase PdxA'],WP_041600387.1,753844770
1237,HNEAP_RS06410,['Hneap_1277'],,['16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA'],WP_012824147.1,502586390
1238,HNEAP_RS06415,['Hneap_1278'],,['6-phosphogluconolactonase'],WP_081441115.1,1174219934
1239,HNEAP_RS06420,['Hneap_1279'],,['Co2+/Mg2+ efflux protein ApaG'],WP_012824149.1,502586392
1240,HNEAP_RS06425,['Hneap_1280'],,['class I SAM-dependent methyltransferase'],WP_012824150.1,502586393
1241,HNEAP_RS06430,['Hneap_1281'],,"[""symmetrical bis(5'-nucleosyl)-tetraphosphatase""]",WP_012824151.1,502586394
1242,HNEAP_RS06435,['Hneap_1282'],,['glutathione S-transferase'],WP_012824152.1,502586395
1243,HNEAP_RS06440,['Hneap_1283'],,['phosphoribosylformylglycinamidine cyclo-ligase'],WP_012824153.1,502586396
1244,HNEAP_RS06445,['Hneap_1284'],,['phosphoribosylglycinamide formyltransferase'],WP_012824154.1,502586397
1245,HNEAP_RS06450,['Hneap_1285'],,['cysteine synthase CysM'],WP_012824155.1,502586398
1246,HNEAP_RS06455,['Hneap_1286'],,['response regulator receiver and Hpt phospho transfer protein'],WP_012824156.1,502586399
1247,HNEAP_RS12535,['Hneap_1287'],,['hypothetical protein'],WP_012824157.1,502586400
1248,HNEAP_RS06460,,,['hypothetical protein'],WP_081441116.1,1174219935
1249,HNEAP_RS12255,,,['EAL domain-containing protein'],WP_049772485.1,908628452
1250,HNEAP_RS06465,['Hneap_1289'],,['PilZ domain-containing protein'],WP_012824158.1,502586401
1251,HNEAP_RS06470,['Hneap_1290'],,['diguanylate cyclase'],WP_012824159.1,502586402
1252,HNEAP_RS06475,['Hneap_1291'],,['PAS domain S-box protein'],WP_012824160.1,502586403
1253,HNEAP_RS06480,['Hneap_1292'],,['thiol reductant ABC exporter subunit CydD'],WP_012824161.1,502586405
1254,HNEAP_RS06485,['Hneap_1293'],,['thiol reductant ABC exporter subunit CydC'],WP_012824162.1,502586406
1255,HNEAP_RS06490,['Hneap_1294'],,['cytochrome ubiquinol oxidase subunit I'],WP_012824163.1,502586407
1256,HNEAP_RS06495,['Hneap_1295'],,['cytochrome d ubiquinol oxidase subunit II'],WP_012824164.1,502586408
1257,HNEAP_RS06500,['Hneap_1297'],,['DUF1461 domain-containing protein'],WP_012824166.1,502586410
1258,HNEAP_RS06505,['Hneap_1298'],,['alpha-D-glucose phosphate-specific phosphoglucomutase'],WP_012824167.1,502586411
1259,HNEAP_RS06510,['Hneap_1299'],,['hypothetical protein'],WP_012824168.1,502586412
1260,HNEAP_RS06515,['Hneap_1300'],,['lytic transglycosylase domain-containing protein'],WP_081441185.1,1174220004
1261,HNEAP_RS06520,['Hneap_1301'],,['DUF1249 domain-containing protein'],WP_081441117.1,1174219936
1262,HNEAP_RS06525,['Hneap_1302'],,['Rrf2 family transcriptional regulator'],WP_012824171.1,502586415
1263,HNEAP_RS06540,['Hneap_1303'],,['DUF429 domain-containing protein'],WP_012824172.1,502586416
1264,HNEAP_RS06545,['Hneap_1304'],,['short-chain dehydrogenase'],WP_012824173.1,502586417
1265,HNEAP_RS06550,['Hneap_1305'],,['TIGR03643 family protein'],WP_012824174.1,502586418
1266,HNEAP_RS06555,['Hneap_1306'],,['deoxyribodipyrimidine photo-lyase'],WP_012824175.1,502586419
1267,HNEAP_RS06560,['Hneap_1307'],,['MFS transporter'],WP_012824176.1,502586420
1268,HNEAP_RS06565,['Hneap_1308'],,['hypothetical protein'],WP_012824177.1,502586421
1269,HNEAP_RS06570,['Hneap_1309'],,['IMP dehydrogenase'],WP_012824178.1,502586422
1270,HNEAP_RS06575,['Hneap_1310'],,['peptidase'],WP_012824179.1,502586423
1271,HNEAP_RS06580,['Hneap_1311'],,['alpha-E domain-containing protein'],WP_041600389.1,753844772
1272,HNEAP_RS06585,['Hneap_1312'],,['circularly permuted type 2 ATP-grasp protein'],WP_041600829.1,753845212
1273,HNEAP_RS06590,['Hneap_1313'],,['MerR family transcriptional regulator'],WP_012824182.1,502586426
1274,HNEAP_RS06595,['Hneap_1314'],,['integration host factor subunit alpha'],WP_012824183.1,502586427
1275,HNEAP_RS06600,['Hneap_1315'],,['phenylalanine--tRNA ligase subunit beta'],WP_012824184.1,502586428
1276,HNEAP_RS06605,['Hneap_1316'],,['phenylalanine--tRNA ligase subunit alpha'],WP_041600830.1,753845213
1277,HNEAP_RS06610,['Hneap_1317'],,['50S ribosomal protein L20'],WP_012824186.1,502586430
1278,HNEAP_RS06615,['Hneap_1318'],,['50S ribosomal protein L35'],WP_012824187.1,502586431
1279,HNEAP_RS06620,['Hneap_1319'],,['translation initiation factor IF-3'],WP_012824188.1,502586433
1280,HNEAP_RS06625,['Hneap_1320'],,['threonine--tRNA ligase'],WP_012824189.1,502586434
1281,HNEAP_RS06630,['Hneap_1321'],,['DUF484 domain-containing protein'],WP_012824190.1,502586435
1282,HNEAP_RS06635,,,['integrase family protein'],WP_012824191.1,502586436
1283,HNEAP_RS06640,['Hneap_1323'],,['ATP-dependent protease subunit HslV'],WP_012824192.1,502586437
1284,HNEAP_RS06645,['Hneap_1324'],,['ATP-dependent protease ATPase subunit HslU'],WP_012824193.1,502586438
1285,HNEAP_RS06650,['Hneap_1325'],,['DUF971 domain-containing protein'],WP_012824194.1,502586439
1286,HNEAP_RS06655,['Hneap_1326'],,"['bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE']",WP_012824195.1,502586440
1287,HNEAP_RS06660,['Hneap_1327'],,['lytic transglycosylase F'],WP_041600390.1,753844773
1288,HNEAP_RS06665,['Hneap_1328'],,"[""orotidine-5'-phosphate decarboxylase""]",WP_012824197.1,502586442
1289,HNEAP_RS06670,['Hneap_1329'],,['integration host factor subunit beta'],WP_012824198.1,502586443
1290,HNEAP_RS06675,['Hneap_1330'],,['30S ribosomal protein S1'],WP_012824199.1,502586444
1291,HNEAP_RS06680,['Hneap_1332'],,['(d)CMP kinase'],WP_012824200.1,502586445
1292,HNEAP_RS06685,['Hneap_1333'],,['3-phosphoshikimate 1-carboxyvinyltransferase'],WP_012824201.1,502586446
1293,HNEAP_RS06690,['Hneap_1334'],,['prephenate dehydrogenase/arogenate dehydrogenase family protein'],WP_012824202.1,502586447
1294,HNEAP_RS06695,['Hneap_1335'],,['histidinol-phosphate transaminase'],WP_012824203.1,502586448
1295,HNEAP_RS06700,['Hneap_1336'],,['prephenate dehydratase'],WP_012824204.1,502586449
1296,HNEAP_RS06705,['Hneap_1337'],,['3-phosphoglycerate dehydrogenase'],WP_012824205.1,502586450
1297,HNEAP_RS06710,['Hneap_1338'],,['3-phosphoserine/phosphohydroxythreonine transaminase'],WP_012824206.1,502586451
1298,HNEAP_RS06715,['Hneap_1339'],,['DNA gyrase subunit A'],WP_012824207.1,502586452
1299,HNEAP_RS06720,['Hneap_1340'],,['OmpA family protein'],WP_012824208.1,502586453
1300,HNEAP_RS06725,['Hneap_1342'],,['mechanosensitive ion channel protein'],WP_012824210.1,502586455
1301,HNEAP_RS06730,,,['hypothetical protein'],WP_081441118.1,1174219937
1302,HNEAP_RS06735,['Hneap_1344'],,['amino-acid N-acetyltransferase'],WP_012824212.1,502586457
1303,HNEAP_RS06740,['Hneap_1345'],,['ornithine carbamoyltransferase'],WP_012824213.1,502586458
1304,HNEAP_RS06745,['Hneap_1346'],,['acetylornithine transaminase'],WP_081441119.1,1174219938
1305,HNEAP_RS06750,['Hneap_1347'],,['bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG'],WP_012824215.1,502586460
1306,HNEAP_RS06755,['Hneap_1348'],,['phosphoglycolate phosphatase'],WP_012824216.1,502586461
1307,HNEAP_RS06760,['Hneap_1349'],,['hypothetical protein'],WP_012824217.1,502586462
1308,HNEAP_RS06765,['Hneap_1350'],,['hypothetical protein'],WP_012824218.1,502586463
1309,HNEAP_RS06770,['Hneap_1351'],,['hypothetical protein'],WP_012824219.1,502586464
1310,HNEAP_RS06775,['Hneap_1352'],,['dihydroorotase'],WP_012824220.1,502586465
1311,HNEAP_RS06780,['Hneap_1353'],,['aspartate carbamoyltransferase catalytic subunit'],WP_012824221.1,502586467
1312,HNEAP_RS06785,['Hneap_1354'],,['bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR'],WP_012824222.1,502586468
1313,HNEAP_RS06790,['Hneap_1355'],,['Holliday junction resolvase RuvX'],WP_012824223.1,502586469
1314,HNEAP_RS06795,['Hneap_1356'],,['YqgE/AlgH family protein'],WP_012824224.1,502586470
1315,HNEAP_RS12540,['Hneap_1357'],,['hypothetical protein'],,
1316,HNEAP_RS06805,['Hneap_1358'],,['ABC transporter permease'],WP_012824226.1,502586472
1317,HNEAP_RS06810,['Hneap_1359'],,['iron ABC transporter ATP-binding protein'],WP_012824227.1,502586473
1318,HNEAP_RS06815,['Hneap_1360'],,['MCE family protein'],WP_012824228.1,502586474
1319,HNEAP_RS06820,['Hneap_1361'],,['hypothetical protein'],WP_012824229.1,502586475
1320,HNEAP_RS06825,['Hneap_1362'],,['RNA helicase'],WP_012824230.1,502586476
1321,HNEAP_RS06830,['Hneap_1363'],,['phosphoenolpyruvate synthase'],WP_012824231.1,502586477
1322,HNEAP_RS06835,['Hneap_1364'],,['septum site-determining protein MinD'],WP_012824232.1,502586478
1323,HNEAP_RS06840,['Hneap_1365'],,['cell division topological specificity factor MinE'],WP_012824233.1,502586479
1324,HNEAP_RS06845,['Hneap_1366'],,['hypothetical protein'],WP_012824234.1,502586480
1325,HNEAP_RS06850,['Hneap_1367'],,['hypothetical protein'],WP_012824235.1,502586481
1326,HNEAP_RS06855,['Hneap_1368'],,['RNA-binding S4 domain-containing protein'],WP_012824236.1,502586482
1327,HNEAP_RS06860,['Hneap_1369'],,['type II 3-dehydroquinate dehydratase'],WP_012824237.1,502586483
1328,HNEAP_RS06865,['Hneap_1370'],,['acetyl-CoA carboxylase biotin carboxyl carrier protein'],WP_012824238.1,502586484
1329,HNEAP_RS06870,['Hneap_1371'],,['acetyl-CoA carboxylase biotin carboxylase subunit'],WP_012824239.1,502586485
1330,HNEAP_RS06875,['Hneap_1372'],,['50S ribosomal protein L11 methyltransferase'],WP_012824240.1,502586486
1331,HNEAP_RS06880,['Hneap_1373'],,['cupin'],WP_012824241.1,502586487
1332,HNEAP_RS06885,['Hneap_1374'],,['nitroreductase family protein'],WP_012824242.1,502586488
1333,HNEAP_RS06890,['Hneap_1375'],,['NAD(P)-dependent alcohol dehydrogenase'],WP_012824243.1,502586489
1334,HNEAP_RS06895,,,['hypothetical protein'],WP_041600391.1,753844774
1335,HNEAP_RS06900,['Hneap_1377'],,['valine--tRNA ligase'],WP_012824245.1,502586491
1336,HNEAP_RS06905,['Hneap_1378'],,['DNA polymerase III subunit chi'],WP_012824246.1,502586492
1337,HNEAP_RS06910,['Hneap_1379'],,['UPF0104 family protein'],WP_012824247.1,502586493
1338,HNEAP_RS06915,['Hneap_1380'],,['antibiotic biosynthesis monooxygenase'],WP_012824248.1,502586494
1339,HNEAP_RS06920,['Hneap_1381'],,['50S ribosomal protein L9'],WP_012824249.1,502586495
1340,HNEAP_RS06925,['Hneap_1382'],,['30S ribosomal protein S18'],WP_012824250.1,502586496
1341,HNEAP_RS06930,['Hneap_1383'],,['30S ribosomal protein S6'],WP_012824251.1,502586497
1342,HNEAP_RS06935,['Hneap_1384'],,['holo-ACP synthase'],WP_012824252.1,502586498
1343,HNEAP_RS06940,['Hneap_1385'],,"[""pyridoxine 5'-phosphate synthase""]",WP_012824253.1,502586499
1344,HNEAP_RS06945,['Hneap_1386'],,['DNA repair protein RecO'],WP_012824254.1,502586500
1345,HNEAP_RS06950,['Hneap_1387'],,['GTPase Era'],WP_012824255.1,502586501
1346,HNEAP_RS06955,['Hneap_1388'],,['ribonuclease III'],WP_012824256.1,502586502
1347,HNEAP_RS06960,['Hneap_1389'],,['DUF4845 domain-containing protein'],WP_012824257.1,502586503
1348,HNEAP_RS06965,['Hneap_1390'],,['signal peptidase I'],WP_012824258.1,502586505
1349,HNEAP_RS06970,['Hneap_1391'],,['elongation factor 4'],WP_012824259.1,502586506
1350,HNEAP_RS06975,['Hneap_1392'],,['PDZ domain-containing protein'],WP_012824260.1,502586507
1351,HNEAP_RS06980,['Hneap_1393'],,['homoserine dehydrogenase'],WP_041600854.1,753845237
1352,HNEAP_RS06985,['Hneap_1394'],,['alanine transaminase'],WP_012824262.1,502586509
1353,HNEAP_RS06990,['Hneap_1395'],,['threonine synthase'],WP_012824263.1,502586510
1354,HNEAP_RS06995,['Hneap_1396'],,"[""S-methyl-5'-thioinosine phosphorylase""]",WP_012824264.1,502586511
1355,HNEAP_RS07000,['Hneap_1397'],,['hypoxanthine-guanine phosphoribosyltransferase'],WP_012824265.1,502586512
1356,HNEAP_RS07005,['Hneap_1398'],,['beta-N-acetylhexosaminidase'],WP_012824266.1,502586513
1357,HNEAP_RS07010,['Hneap_1399'],,['dienelactone hydrolase family protein'],WP_012824267.1,502586514
1358,HNEAP_RS07015,['Hneap_1400'],,['hypothetical protein'],WP_012824268.1,502586515
1359,HNEAP_RS07020,['Hneap_1401'],,['DUF1840 domain-containing protein'],WP_012824269.1,502586516
1360,HNEAP_RS07025,['Hneap_1402'],,['plasma-membrane proton-efflux P-type ATPase'],WP_012824270.1,502586517
1361,HNEAP_RS07030,['Hneap_1403'],,['hypothetical protein'],WP_012824271.1,502586518
1362,HNEAP_RS07035,['Hneap_1404'],,['hypothetical protein'],WP_081441120.1,1174219939
1363,HNEAP_RS07040,['Hneap_1405'],,['ModE family transcriptional regulator'],WP_012824273.1,502586520
1364,HNEAP_RS07045,['Hneap_1406'],,['DUF455 domain-containing protein'],WP_012824274.1,502586521
1365,HNEAP_RS07050,['Hneap_1407'],,['hypothetical protein'],WP_041600394.1,753844777
1366,HNEAP_RS12260,['Hneap_1408'],,['DUF2237 domain-containing protein'],WP_012824276.1,502586523
1367,HNEAP_RS07065,['Hneap_1409'],,['glutathione peroxidase'],WP_012824277.1,502586524
1368,HNEAP_RS07070,['Hneap_1410'],,['DNA polymerase III subunit epsilon'],WP_012824278.1,502586525
1369,HNEAP_RS07075,['Hneap_1411'],,['DASH family cryptochrome'],WP_012824279.1,502586526
1370,HNEAP_RS07080,['Hneap_1412'],,['NADH:ubiquinone oxidoreductase complex I intermediate-associated protein 30'],WP_012824280.1,502586527
1371,HNEAP_RS07085,['Hneap_1413'],,['MipA/OmpV family protein'],WP_012824281.1,502586528
1372,HNEAP_RS07090,['Hneap_1414'],,['efflux RND transporter periplasmic adaptor subunit'],WP_012824282.1,502586529
1373,HNEAP_RS07095,['Hneap_1415'],,['multidrug efflux RND transporter permease subunit'],WP_012824283.1,502586530
1374,HNEAP_RS07100,['Hneap_1416'],,['hypothetical protein'],WP_012824284.1,502586531
1375,HNEAP_RS07105,['Hneap_1417'],,['DNA-3-methyladenine glycosylase I'],WP_012824285.1,502586532
1376,HNEAP_RS07110,['Hneap_1419'],,['hypothetical protein'],WP_012824287.1,502586534
1377,HNEAP_RS07115,['Hneap_1420'],,['nucleotidyl transferase AbiEii/AbiGii toxin family protein'],WP_012824288.1,502586535
1378,HNEAP_RS07120,['Hneap_1421'],,['peptidase U49'],WP_012824289.1,502586536
1379,HNEAP_RS07125,['Hneap_1422'],,['hypothetical protein'],WP_012824290.1,502586537
1380,HNEAP_RS07130,,,['recombinase'],WP_041600395.1,753844778
1381,HNEAP_RS07135,['Hneap_1424'],,['hypothetical protein'],WP_012824291.1,502586538
1382,HNEAP_RS07140,['Hneap_1425'],,['group 1 truncated hemoglobin'],WP_081441186.1,1174220005
1383,HNEAP_RS07145,['Hneap_1426'],,['DUF3034 domain-containing protein'],WP_081441187.1,1174220006
1384,HNEAP_RS07150,['Hneap_1427'],,['response regulator receiver protein'],WP_012824294.1,502586542
1385,HNEAP_RS07155,['Hneap_1428'],,['CBS domain-containing protein'],WP_012824295.1,502586543
1386,HNEAP_RS07160,,,['DNA internalization-related competence protein ComEC/Rec2'],WP_012824296.1,502586544
1387,HNEAP_RS07165,['Hneap_1430'],,['protein-glutamate O-methyltransferase CheR'],WP_012824297.1,502586545
1388,HNEAP_RS07170,['Hneap_1431'],,['chemotaxis protein CheV'],WP_012824298.1,502586546
1389,HNEAP_RS07175,['Hneap_1432'],,['serine/threonine phosphatase'],WP_012824299.1,502586547
1390,HNEAP_RS07180,['Hneap_1433'],,['hypothetical protein'],WP_012824300.1,502586548
1391,HNEAP_RS07185,['Hneap_1434'],,['DUF1987 domain-containing protein'],WP_012824301.1,502586549
1392,HNEAP_RS07190,['Hneap_1435'],,['GGDEF domain-containing protein'],WP_012824302.1,502586550
1393,HNEAP_RS07195,['Hneap_1437'],,['phospholipase A(2)'],WP_012824304.1,502586552
1394,HNEAP_RS07200,['Hneap_1438'],,['RND transporter'],WP_012824305.1,502586553
1395,HNEAP_RS07205,['Hneap_1439'],,['MexH family multidrug efflux RND transporter periplasmic adaptor subunit'],WP_012824306.1,502586554
1396,HNEAP_RS07210,,,['multidrug efflux protein'],,
1397,HNEAP_RS07215,['Hneap_1441'],['aspA'],['class II fumarate hydratase'],WP_012824307.1,502586555
1398,HNEAP_RS07220,['Hneap_1442'],,['acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase'],WP_012824308.1,502586556
1399,HNEAP_RS07225,['Hneap_1443'],,['3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ'],WP_081441188.1,1174220007
1400,HNEAP_RS07230,['Hneap_1444'],,['UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase'],WP_012824310.1,502586558
1401,HNEAP_RS07235,['Hneap_1445'],,['molecular chaperone Skp'],WP_012824311.1,502586559
1402,HNEAP_RS07240,['Hneap_1446'],,['outer membrane protein assembly factor BamA'],WP_012824312.1,502586560
1403,HNEAP_RS07245,,,['hypothetical protein'],WP_041600397.1,753844780
1404,HNEAP_RS07250,['Hneap_1447'],,['RIP metalloprotease RseP'],WP_012824313.1,502586561
1405,HNEAP_RS07255,['Hneap_1448'],,['1-deoxy-D-xylulose-5-phosphate reductoisomerase'],WP_012824314.1,502586562
1406,HNEAP_RS07260,['Hneap_1449'],,['phosphatidate cytidylyltransferase'],WP_012824315.1,502586563
1407,HNEAP_RS07265,['Hneap_1450'],,"['di-trans,poly-cis-decaprenylcistransferase']",WP_012824316.1,502586564
1408,HNEAP_RS07270,['Hneap_1451'],,['ribosome recycling factor'],WP_012824317.1,502586565
1409,HNEAP_RS07275,['Hneap_1452'],,['UMP kinase'],WP_012824318.1,502586566
1410,HNEAP_RS07280,['Hneap_1453'],,['elongation factor Ts'],WP_012824319.1,502586567
1411,HNEAP_RS07285,['Hneap_1454'],,['30S ribosomal protein S2'],WP_012824320.1,502586568
1412,HNEAP_RS07290,['Hneap_1455'],,['segregation/condensation protein A'],WP_012824321.1,502586569
1413,HNEAP_RS07295,['Hneap_1456'],,['site-2 protease family protein'],WP_012824322.1,502586570
1414,HNEAP_RS07300,['Hneap_1457'],,['threonylcarbamoyl-AMP synthase'],WP_012824323.1,502586571
1415,HNEAP_RS07305,['Hneap_1458'],,['septation protein A'],WP_012824324.1,502586572
1416,HNEAP_RS07310,['Hneap_1459'],,['hypothetical protein'],WP_012824325.1,502586573
1417,HNEAP_RS07315,['Hneap_1460'],,['hypothetical protein'],WP_081441121.1,1174219940
1418,HNEAP_RS07320,['Hneap_1461'],,['cyclic nucleotide-binding domain-containing protein'],WP_081441122.1,1174219941
1419,HNEAP_RS07325,['Hneap_1462'],,['HDOD domain-containing protein'],WP_012824328.1,502586576
1420,HNEAP_RS07330,['Hneap_1463'],,['polyribonucleotide nucleotidyltransferase'],WP_012824329.1,502586577
1421,HNEAP_RS07335,['Hneap_1464'],,['30S ribosomal protein S15'],WP_012824330.1,502586579
1422,HNEAP_RS07340,['Hneap_1465'],,['tRNA pseudouridine(55) synthase TruB'],WP_012824331.1,502586580
1423,HNEAP_RS07345,['Hneap_1466'],,['30S ribosome-binding factor RbfA'],WP_012824332.1,502586581
1424,HNEAP_RS07350,['Hneap_1467'],,['translation initiation factor IF-2'],WP_012824333.1,502586582
1425,HNEAP_RS07355,['Hneap_1468'],['nusA'],['transcription termination/antitermination protein NusA'],WP_012824334.1,502586583
1426,HNEAP_RS07360,['Hneap_1469'],,['ribosome assembly cofactor RimP'],WP_012824335.1,502586584
1427,HNEAP_RS07365,['Hneap_1470'],,['hypothetical protein'],WP_012824336.1,502586585
1428,HNEAP_RS07370,['Hneap_1471'],,['molecular chaperone DnaJ'],WP_012824337.1,502586586
1429,HNEAP_RS07375,['Hneap_1472'],,['molecular chaperone DnaK'],WP_012824338.1,502586587
1430,HNEAP_RS07380,['Hneap_1473'],,['nucleotide exchange factor GrpE'],WP_012824339.1,502586588
1431,HNEAP_RS07385,['Hneap_1474'],,['hypothetical protein'],WP_049772498.1,908628465
1432,HNEAP_RS07390,['Hneap_1475'],,['DNA repair protein RecN'],WP_012824341.1,502586590
1433,HNEAP_RS07395,['Hneap_1476'],,['cytochrome c'],WP_012824342.1,502586591
1434,HNEAP_RS07400,['Hneap_1477'],,['cytochrome c'],WP_012824343.1,502586592
1435,HNEAP_RS07405,['Hneap_1478'],,['peptidase M16'],WP_012824344.1,502586593
1436,HNEAP_RS07410,['Hneap_1479'],,['flavin reductase family protein'],WP_012824345.1,502586594
1437,HNEAP_RS07415,['Hneap_1480'],,['23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD'],WP_012824346.1,502586595
1438,HNEAP_RS07425,['Hneap_1481'],,['lipid A biosynthesis acyltransferase'],WP_012824347.1,502586596
1439,HNEAP_RS07430,['Hneap_1482'],,['cytochrome P450'],WP_012824348.1,502586597
1440,HNEAP_RS07435,['Hneap_1483'],,['capsule polysaccharide biosynthesis protein'],WP_012824349.1,502586598
1441,HNEAP_RS07440,,,['NAD(P)-dependent oxidoreductase'],WP_081441123.1,1174219942
1442,HNEAP_RS07445,['Hneap_1485'],,['GNAT family N-acetyltransferase'],WP_081441124.1,1174219943
1443,HNEAP_RS07450,['Hneap_1486'],,['polysaccharide export protein'],WP_012824352.1,502586601
1444,HNEAP_RS07455,['Hneap_1487'],,"['dTDP-4-dehydrorhamnose 3,5-epimerase']",WP_012824353.1,502586602
1445,HNEAP_RS07460,['Hneap_1488'],,['dTDP-4-dehydrorhamnose reductase'],WP_012824354.1,502586603
1446,HNEAP_RS07465,['Hneap_1489'],,"['dTDP-glucose 4,6-dehydratase']",WP_012824355.1,502586604
1447,HNEAP_RS07470,['Hneap_1490'],,['four helix bundle protein'],WP_012824356.1,502586605
1448,HNEAP_RS07475,['Hneap_1491'],,['glucose-1-phosphate thymidylyltransferase'],WP_012824357.1,502586606
1449,HNEAP_RS07480,,,['glycosyltransferase family 2 protein'],WP_012824358.1,502586607
1450,HNEAP_RS07485,['Hneap_1493'],,['DUF563 domain-containing protein'],WP_012824359.1,502586608
1451,HNEAP_RS07490,['Hneap_1494'],,['sulfate adenylyltransferase'],WP_012824360.1,502586609
1452,HNEAP_RS07495,,,['hypothetical protein'],,
1453,HNEAP_RS07500,['Hneap_1496'],,['DUF2442 domain-containing protein'],WP_012824361.1,502586610
1454,HNEAP_RS07505,['Hneap_1497'],,['sulfate adenylyltransferase subunit CysD'],WP_012824362.1,502586611
1455,HNEAP_RS07510,['Hneap_1498'],,['sulfate adenylyltransferase subunit CysN'],WP_012824363.1,502586612
1456,HNEAP_RS07515,['Hneap_1499'],,['carboxylate transporter'],WP_012824364.1,502586613
1457,HNEAP_RS07520,['Hneap_1500'],,['adenylyl-sulfate kinase'],WP_012824365.1,502586614
1458,HNEAP_RS07525,['Hneap_1501'],,"[""3'(2'),5'-bisphosphate nucleotidase""]",WP_012824366.1,502586615
1459,HNEAP_RS07530,,,['hypothetical protein'],WP_012824367.1,502586616
1460,HNEAP_RS07535,['Hneap_1503'],,['glycosyltransferase family 2 protein'],WP_012824368.1,502586617
1461,HNEAP_RS07540,['Hneap_1504'],,['capsular polysaccharide biosynthesis protein'],WP_081441125.1,1174219944
1462,HNEAP_RS07545,['Hneap_1505'],,['ABC transporter ATP-binding protein'],WP_012824370.1,502586619
1463,HNEAP_RS07550,['Hneap_1506'],,['sugar ABC transporter permease'],WP_012824371.1,502586620
1464,HNEAP_RS07555,['Hneap_1507'],,['hypothetical protein'],WP_041600400.1,753844783
1465,HNEAP_RS07560,['Hneap_1508'],,['8-amino-7-oxononanoate synthase'],WP_012824373.1,502586622
1466,HNEAP_RS07565,['Hneap_1509'],,['type I polyketide synthase'],WP_012824374.1,502586623
1467,HNEAP_RS07570,['Hneap_1510'],,['lactoylglutathione lyase'],WP_012824375.1,502586625
1468,HNEAP_RS07575,['Hneap_1511'],,['O-succinylhomoserine sulfhydrylase'],WP_012824376.1,502586626
1469,HNEAP_RS07580,,,['hypothetical protein'],WP_012824377.1,502586627
1470,HNEAP_RS07585,['Hneap_1513'],,['bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase'],WP_012824378.1,502586628
1471,HNEAP_RS07590,,,['ribonuclease BN'],WP_012824379.1,502586629
1472,HNEAP_RS07595,['Hneap_1515'],,['hypothetical protein'],WP_012824380.1,502586630
1473,HNEAP_RS07600,['Hneap_1516'],,['replication-associated recombination protein A'],WP_012824381.1,502586631
1474,HNEAP_RS07605,['Hneap_1517'],,['GNAT family N-acetyltransferase'],WP_012824382.1,502586632
1475,HNEAP_RS12265,['Hneap_1518'],,['outer membrane lipoprotein carrier protein LolA'],WP_012824383.1,502586633
1476,HNEAP_RS07615,['Hneap_1519'],,['DNA translocase FtsK'],WP_012824384.1,502586634
1477,HNEAP_RS07620,['Hneap_1521'],,['ClpXP protease specificity-enhancing factor'],WP_012824386.1,502586636
